762    830     2:2:1:    3:    N[6]-2:N[6]-2:F-1:     C[6]-3:     N    C[6](N[6]C[6])2(F)    F(C[6]N[6]2)     C[6](N[6]C[6])2(F){1|F<1>,1|N<2>,1|O<1>}    F(C[6]N[6]2)   1.3420    0.0000    1     1.3420     0.0000    1
762    830     3:2:1:    3:    C[6,6]-3:N[6]-2:F-1:     C[6]-3:     N    C[6](C[6,6]C[6,6]C[6])(N[6]C[6])(F)    F(C[6]C[6,6]N[6])     C[6](C[6,6]C[6,6]C[6])(N[6]C[6])(F){1|N<3>,2|H<1>,3|C<4>}    F(C[6]C[6,6]N[6])   1.3455    0.0000    1     1.3455     0.0000    1
762    830     3:2:1:    3:    C[6]-3:N[6]-2:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)(N[6]C[6])(F)    F(C[6]C[6]N[6])     C[6](C[6]C[6]F)(N[6]C[6])(F){1|Ir<4>,1|C<3>,1|F<1>}    F(C[6]C[6]N[6])   1.3499    0.0000    1     1.3460     0.0054    2
762    830     3:2:1:    3:    C[6]-3:N[6]-2:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)(N[6]C[6])(F)    F(C[6]C[6]N[6])     C[6](C[6]C[6]F)(N[6]C[6])(F){1|Te<2>,1|C<3>,1|F<1>}    F(C[6]C[6]N[6])   1.3422    0.0000    1     1.3460     0.0054    2
762    830     3:2:1:    3:    C[6a]-3:N[6a]-2:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6,6a]C)(N[6a]C[6a])(F)    F(C[6a]C[6a]N[6a])     C[6a](C[6a]C[6,6a]C)(N[6a]C[6a])(F){1|C<3>,1|C<4>,1|N<2>}    F(C[6a]C[6a]N[6a])   1.3448    0.0000    1     1.3448     0.0000    1
762    830     3:2:1:    3:    C[6a]-3:N[6a]-2:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a]F)(N[6a]C[6a])(F)    F(C[6a]C[6a]N[6a])     C[6a](C[6a]C[6a]F)(N[6a]C[6a])(F){1|C<3>,1|F<1>,1|N<3>}    F(C[6a]C[6a]N[6a])   1.3340    0.0000    1     1.3413     0.0049    4
762    830     3:2:1:    3:    C[6a]-3:N[6a]-2:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a]F)(N[6a]C[6a])(F)    F(C[6a]C[6a]N[6a])     C[6a](C[6a]C[6a]F)(N[6a]C[6a])(F){1|F<1>,2|C<3>}    F(C[6a]C[6a]N[6a])   1.3439    0.0014    2     1.3413     0.0049    4
762    830     3:2:1:    3:    C[6a]-3:N[6a]-2:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a]F)(N[6a]C[6a])(F)    F(C[6a]C[6a]N[6a])     C[6a](C[6a]C[6a]F)(N[6a]C[6a])(F){1|Se<2>,1|C<3>,1|F<1>}    F(C[6a]C[6a]N[6a])   1.3432    0.0000    1     1.3413     0.0049    4
762    830     3:3:1:    3:    C[5,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]F)(F)    F(C[6a]C[5,6a]C[6a])     C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]F)(F){1|C<3>,1|C<4>,1|F<1>,1|O<1>,1|O<2>}    F(C[6a]C[5,6a]C[6a])   1.3403    0.0000    1     1.3414     0.0022    5
762    830     3:3:1:    3:    C[5,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]F)(F)    F(C[6a]C[5,6a]C[6a])     C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]F)(F){1|F<1>,1|N<3>,1|O<1>,2|C<3>}    F(C[6a]C[5,6a]C[6a])   1.3418    0.0029    3     1.3414     0.0022    5
762    830     3:3:1:    3:    C[5,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]F)(F)    F(C[6a]C[5,6a]C[6a])     C[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]F)(F){1|F<1>,1|N<3>,1|S<4>,3|C<3>}    F(C[6a]C[5,6a]C[6a])   1.3412    0.0000    1     1.3414     0.0022    5
762    830     3:3:1:    3:    C[5,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]F)(F)    F(C[6a]C[5,6a]C[6a])     C[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]F)(F){1|B<4>,1|F<1>,1|N<3>,2|C<3>}    F(C[6a]C[5,6a]C[6a])   1.3323    0.0000    1     1.3394     0.0100    2
762    830     3:3:1:    3:    C[5,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]F)(F)    F(C[6a]C[5,6a]C[6a])     C[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]F)(F){1|Se<2>,1|C<3>,1|H<1>,1|S<3>}    F(C[6a]C[5,6a]C[6a])   1.3464    0.0000    1     1.3394     0.0100    2
762    830     3:3:1:    3:    C[5,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]H)(F)    F(C[6a]C[5,6a]C[6a])     C[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]H)(F){2|H<1>,3|C<3>}    F(C[6a]C[5,6a]C[6a])   1.3476    0.0000    1     1.3476     0.0000    1
762    830     3:3:1:    3:    C[5a,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5a,6a]C[5a,6a]C[5a,6])(C[6a]C[6a]F)(F)    F(C[6a]C[5a,6a]C[6a])     C[6a](C[5a,6a]C[5a,6a]C[5a,6])(C[6a]C[6a]F)(F){1|F<1>,1|N<2>,1|N<3>,2|C<3>}    F(C[6a]C[5a,6a]C[6a])   1.3406    0.0040    5     1.3406     0.0040    5
762    830     3:3:1:    3:    C[5a,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5a,6a]C[5a,6a]N[5a])(C[6a]C[6a]F)(F)    F(C[6a]C[5a,6a]C[6a])     C[6a](C[5a,6a]C[5a,6a]N[5a])(C[6a]C[6a]F)(F){1|C<4>,1|F<1>,1|N<3>,2|C<3>}    F(C[6a]C[5a,6a]C[6a])   1.3467    0.0000    1     1.3467     0.0000    1
762    830     3:3:1:    3:    C[6,6,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6,6,6a]C[6,6,6a]C[3x6])(C[6a]C[6a]F)(F)    F(C[6a]C[6,6,6a]C[6a])     C[6a](C[6,6,6a]C[6,6,6a]C[3x6])(C[6a]C[6a]F)(F){1|C<3>,1|F<1>,1|H<1>,3|C<4>}    F(C[6a]C[6,6,6a]C[6a])   1.3454    0.0000    1     1.3454     0.0000    1
762    830     3:3:1:    3:    C[6,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]F)(F)    F(C[6a]C[6,6a]C[6a])     C[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]F)(F){1|B<4>,1|C<4>,1|F<1>,2|C<3>}    F(C[6a]C[6,6a]C[6a])   1.3418    0.0000    1     1.3418     0.0000    1
