762    922     3:3:3:    3:3:1:    C[6a]-3:C[6]-3:S[6]-3:     C[6]-3:C[6]-3:O-1:     Y    C[6](C[6a]C[6a]2)(C[6]C[6]H)(S[6]C[6]O)    S[6](C[6]C[6a]C[6])2(O)     C[6](C[6a]C[6a]2)(C[6]C[6]H)(S[6]C[6]O){2|C<4>,2|H<1>,4|C<3>}    S[6](C[6]C[6a]C[6])2(O){1|C<4>,2|H<1>,4|C<3>}   1.7805    0.0037    3     1.7805     0.0037    3
762    922     3:3:3:    3:3:2:    C[6,6a]-3:C[6a]-3:S[6]-3:     C[6,6a]-3:N[6]-3:N-2:     Y    C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]N[6]N)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6]S)(NS)     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]N[6]N){2|Cl<1>,1|C<3>,1|C<4>,1|S<4>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6]S)(NS){1|C<4>,1|N<3>,2|C<3>,2|H<1>}   1.7956    0.0000    1     1.7956     0.0000    1
762    922     3:3:3:    3:3:3:    C[6,6a]-3:S[6]-3:C[6a]-3:     C[6,6a]-3:C[6,6a]-3:C-3:     Y    C[6,6a](C[6,6a]C[6a]O[6])(S[6]C[6,6a]C)(C[6a]C[6a]H)    S[6](C[6,6a]C[6,6a]C[6a])2(CCC)     C[6,6a](C[6,6a]C[6a]O[6])(S[6]C[6,6a]C)(C[6a]C[6a]H){2|H<1>,3|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])2(CCC){1|O<2>,2|H<1>,4|C<3>}   1.7693    0.0000    1     1.7693     0.0000    1
762    922     3:3:3:    3:3:4:    S[3x6]-3:C[6,6,6a]-3:C[6a]-3:     C[6,6,6a]-3:C[6,6,6a]-3:C[6,6]-4:     Y    C[6,6,6a](S[3x6]C[6,6,6a]C[6,6])(C[6,6,6a]S[3x6]C[6a])(C[6a]C[6a]H)    S[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(C[6,6]C[6,6]CH)     C[6,6,6a](S[3x6]C[6,6,6a]C[6,6])(C[6,6,6a]S[3x6]C[6a])(C[6a]C[6a]H){2|C<4>,3|C<3>,3|H<1>}    S[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(C[6,6]C[6,6]CH){1|C<4>,1|S<3>,3|H<1>,4|C<3>}   1.7702    0.0000    1     1.7702     0.0000    1
762    930     2:2:3:    3:2:1:    N[6a]-2:N[6a]-2:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a])2(COO)    C(C[6a]N[6a]2)(OC)(O)     C[6a](N[6a]C[6a])2(COO){1|N<2>,2|C<3>}    C(C[6a]N[6a]2)(OC)(O)   1.5201    0.0000    1     1.5201     0.0000    1
762    930     2:2:3:    3:3:1:    N[6a]-2:N[6a]-2:C-3:     C[6a]-3:C[6a]-3:O-1:     N    C[6a](N[6a]C[6a])2(CC[6a]O)    C(C[6a]C[6a]2)(C[6a]N[6a]2)(O)     C[6a](N[6a]C[6a])2(CC[6a]O){1|C<3>,2|O<2>}    C(C[6a]C[6a]2)(C[6a]N[6a]2)(O)   1.5213    0.0000    1     1.5213     0.0000    1
762    930     2:2:3:    3:3:1:    N[6a]-2:N[6a]-2:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6a])2(CNO)    C(C[6a]N[6a]2)(NHH)(O)     C[6a](N[6a]C[6a])2(CNO){1|C<3>,2|H<1>}    C(C[6a]N[6a]2)(NHH)(O)   1.5182    0.0000    1     1.5182     0.0000    1
762    930     2:2:3:    3:3:1:    N[6a]-2:O[6a]-2:C-3:     C[6a]-3:C-3:H-1:     N    C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH)    C(C[6a]N[6a]O[6a])(CC[5]H)(H)     C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH){1|O<1>,2|C<3>}    C(C[6a]N[6a]O[6a])(CC[5]H)(H)   1.4632    0.0000    1     1.4632     0.0000    1
762    930     2:2:3:    3:3:1:    N[6a]-2:O[6a]-2:C-3:     C[6a]-3:C-3:H-1:     N    C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH)    C(C[6a]N[6a]O[6a])(CC[6a]H)(H)     C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH){1|O<1>,2|C<3>}    C(C[6a]N[6a]O[6a])(CC[6a]H)(H)   1.4451    0.0000    1     1.4451     0.0000    1
762    930     2:2:3:    3:3:2:    N[6a]-2:N[6a]-2:C-3:     C[6a]-3:N-3:N-2:     N    C[6a](N[6a]C[6a])2(CNN)    C(C[6a]N[6a]2)(NHH)(NN)     C[6a](N[6a]C[6a])2(CNN){1|C<3>,2|H<1>}    C(C[6a]N[6a]2)(NHH)(NN)   1.4867    0.0000    1     1.4867     0.0000    1
762    930     2:2:3:    3:3:3:    S[6]-2:S[6]-2:C-3:     C[6]-3:C-3:C-3:     N    C[6](S[6]C[6])2(CCC)    C(C[6]S[6]2)(CCH)(COO)     C[6](S[6]C[6])2(CCC){1|C<4>,4|H<1>}    C(C[6]S[6]2)(CCH)(COO)   1.3597    0.0000    1     1.3597     0.0000    1
762    930     2:2:3:    3:3:4:    N[6a]-2:O[6a]-2:C-3:     C[6a]-3:C-3:C-4:     N    C[6a](N[6a]C[6a])(O[6a]C[6a])(CCC)    C(C[6a]N[6a]O[6a])(CC[6a]N)(CH3)     C[6a](N[6a]C[6a])(O[6a]C[6a])(CCC){1|O<1>,2|C<3>}    C(C[6a]N[6a]O[6a])(CC[6a]N)(CH3)   1.4299    0.0000    1     1.4299     0.0000    1
762    930     2:3:3:    3:1:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:H-1:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO)    C(C[6a]C[6a]N[6a])(H)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO){1|C<4>,2|C<3>}    C(C[6a]C[6a]N[6a])(H)(O)   1.4834    0.0000    1     1.4812     0.0037    5
762    930     2:3:3:    3:1:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:H-1:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO)    C(C[6a]C[6a]N[6a])(H)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(H)(O)   1.4806    0.0040    4     1.4812     0.0037    5
762    930     2:3:3:    3:1:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:H-1:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CHO)    C(C[6a]C[6a]N[6a])(H)(O)     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CHO){2|C<3>}    C(C[6a]C[6a]N[6a])(H)(O)   1.4756    0.0000    1     1.4756     0.0000    1
762    930     2:3:3:    3:1:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-1:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]C)(COO)    C(C[6a]C[6a]N[6a])(O)2     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]C)(COO){2|C<3>}    C(C[6a]C[6a]N[6a])(O)2   1.5201    0.0000    1     1.5201     0.0000    1
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-2:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)    C(C[6a]C[6a]N[6a])(NC)(H)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(NC)(H)   1.4759    0.0000    1     1.4759     0.0000    1
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-2:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)    C(C[6a]C[6a]N[6a])(NC[6])(H)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(NC[6])(H)   1.4819    0.0044    4     1.4819     0.0044    4
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-2:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN)    C(C[6a]C[6a]N[6a])(NC[6a])(H)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHN){1|C<3>,1|C<4>,1|N<2>}    C(C[6a]C[6a]N[6a])(NC[6a])(H)   1.4776    0.0041    2     1.4737     0.0074    3
