474    960     SP2_SP3    Y    2:2:1:1:    4:3:    H-3:H-3:N[5]-3_2:O[5]-3_3     C[5]-3_2_0_0:C[5]-3_2_2     C[5](N[5]C[5])(O[5]C[5])(H)2    N[5](C[5]O[5]HH)(C[5]C[5]C)     C[5](N[5]C[5])(O[5]C[5])(H)2{1|H<1>,2|C<3>}    N[5](C[5]O[5]HH)(C[5]C[5]C){1|C<3>,1|H<1>}   1.4553    0.0000    1     1.4553     0.0000    1
474    960     SP2_SP3    Y    2:2:2:1:    3:4:    H-3:N[5]-3_2:O-3_3:O[5]-3_3     C[5]-3_2_2:C[5]-3_3_2_0     C[5](N[5]C[5])(O[5]C[5])(OC[4,5])(H)    N[5](C[5]C[6a]C[5])(C[5]O[5]HO)     C[5](N[5]C[5])(O[5]C[5])(OC[4,5])(H){1|C<3>,1|H<1>,1|O<2>}    N[5](C[5]C[6a]C[5])(C[5]O[5]HO){1|H<1>,1|O<2>,2|C<3>}   1.4581    0.0000    1     1.4581     0.0000    1
474    960     SP2_SP3    Y    2:2:2:1:    3:4:    H-3:N[5]-3_2:O-3_3:O[5]-3_3     C[5]-3_2_2:C[5]-3_3_2_0     C[5](N[5]C[5])(O[5]C[5])(OC[6,6])(H)    N[5](C[5]C[6a]C[5])(C[5]O[5]HO)     C[5](N[5]C[5])(O[5]C[5])(OC[6,6])(H){1|O<2>,2|C<3>}    N[5](C[5]C[6a]C[5])(C[5]O[5]HO){1|O<2>,3|C<3>}   1.4506    0.0025    2     1.4506     0.0025    2
474    960     SP2_SP3    Y    2:2:2:4:    3:4:    C-3_0_0_0:N[5]-3_2:O-3_2:O[5]-3_3     C[5]-3_2_2:C[5]-3_3_2_2     C[5](N[5]C[5])(O[5]C[5])(OC[6a])(CH3)    N[5](C[5]C[6a]C[5])(C[5]O[5]CO)     C[5](N[5]C[5])(O[5]C[5])(OC[6a])(CH3){1|C<3>,1|H<1>,1|O<2>}    N[5](C[5]C[6a]C[5])(C[5]O[5]CO){1|H<1>,1|O<2>,2|C<3>}   1.4709    0.0000    1     1.4709     0.0000    1
474    960     SP2_SP3    Y    2:2:2:4:    3:4:    C-3_3_0_0:N[5]-3_2:O-3_2:O[5]-3_3     C[5]-3_2_2:C[5]-3_3_2_2     C[5](N[5]C[5])(O[5]C[5])(OC[6a])(CCHH)    N[5](C[5]C[6a]C[5])(C[5]O[5]CO)     C[5](N[5]C[5])(O[5]C[5])(OC[6a])(CCHH){1|C<3>,1|H<1>,1|O<2>}    N[5](C[5]C[6a]C[5])(C[5]O[5]CO){1|H<1>,1|O<2>,2|C<3>}   1.4621    0.0014    2     1.4621     0.0014    2
474    960     SP2_SP3    Y    2:2:4:4:    3:4:    C-3_0_0_0:C-3_0_0_0:N[5]-3_2:N[5]-3_2     C[5,6a]-2_2_2:C[5]-3_3_2_2     C[5](N[5]C[5,6a])2(CH3)2    N[5](C[5,6a]C[5,6a]C[6,6a])(C[5]N[5]CC)     C[5](N[5]C[5,6a])2(CH3)2{2|C<3>}    N[5](C[5,6a]C[5,6a]C[6,6a])(C[5]N[5]CC){3|C<3>}   1.4817    0.0000    1     1.4817     0.0000    1
474    960     SP2_SP3    Y    2:2:4:4:    3:4:    C-3_0_0_0:C-3_0_0_0:N[5]-3_2:N[5]-3_2     C[5]-2_2_2:C[5]-3_3_2_2     C[5](N[5]C[5])2(CH3)2    N[5](C[5]C[5a]C[5])(C[5]N[5]CC)     C[5](N[5]C[5])2(CH3)2{2|C<3>}    N[5](C[5]C[5a]C[5])(C[5]N[5]CC){1|N<3>,2|C<3>}   1.4600    0.0000    1     1.4578     0.0032    2
474    960     SP2_SP3    Y    2:2:4:4:    3:4:    C-3_0_0_0:C-3_0_0_0:N[5]-3_2:N[5]-3_2     C[5]-2_2_2:C[5]-3_3_2_2     C[5](N[5]C[5])2(CH3)2    N[5](C[5]C[5a]C[5])(C[5]N[5]CC)     C[5](N[5]C[5])2(CH3)2{2|C<3>}    N[5](C[5]C[5a]C[5])(C[5]N[5]CC){3|C<3>}   1.4556    0.0000    1     1.4578     0.0032    2
474    960     SP2_SP3    Y    2:2:4:4:    3:4:    C-3_0_0_0:C-3_0_0_0:N[5]-3_2:N[5]-3_2     C[5]-2_2_2:C[5]-3_3_2_2     C[5](N[5]C[5])2(CH3)2    N[5](C[5]C[6a]C[5])(C[5]N[5]CC)     C[5](N[5]C[5])2(CH3)2{2|C<3>}    N[5](C[5]C[6a]C[5])(C[5]N[5]CC){3|C<3>}   1.4750    0.0079    3     1.4750     0.0079    3
474    960     SP2_SP3    Y    2:2:4:4:    3:4:    C-3_0_0_0:C-3_0_0_0:N[5]-3_2:O[5]-3_2     C[5,6]-2_2_2:C[5]-3_3_2_2     C[5](N[5]C[5,6])(O[5]C[5,6])(CH3)2    N[5](C[5,6]C[5,6]C[6])(C[5]O[5]CC)     C[5](N[5]C[5,6])(O[5]C[5,6])(CH3)2{2|C<3>}    N[5](C[5,6]C[5,6]C[6])(C[5]O[5]CC){1|C<3>,1|N<3>,1|O<1>}   1.4591    0.0000    1     1.4562     0.0041    2
474    960     SP2_SP3    Y    2:2:4:4:    3:4:    C-3_0_0_0:C-3_0_0_0:N[5]-3_2:O[5]-3_2     C[5,6]-2_2_2:C[5]-3_3_2_2     C[5](N[5]C[5,6])(O[5]C[5,6])(CH3)2    N[5](C[5,6]C[5,6]C[6])(C[5]O[5]CC)     C[5](N[5]C[5,6])(O[5]C[5,6])(CH3)2{2|C<3>}    N[5](C[5,6]C[5,6]C[6])(C[5]O[5]CC){3|C<3>}   1.4533    0.0000    1     1.4562     0.0041    2
