670    730     4:4:2:    3:1:    C-4:C-4:P-2:     N-3:Cl-1:     N    N(CCCH)2(PCl)    P(NCC)(Cl)     N(CCCH)2(PCl)    P(NCC)(Cl)   1.5908    0.0000    1     1.5908     0.0000    1
670    742     4:3:1:    3:3:3:3:    B[4]-4:C[6a]-3:H-1:     C[6a]-3:N[4]-3:N[4]-3:N-3:     N    N(B[4]C[6a]N[4]2)(C[6a]C[6a]2)(H)    B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H)     N(B[4]C[6a]N[4]2)(C[6a]C[6a]2)(H)    B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H){1|C<4>,2|C<3>,2|H<1>}   1.5001    0.0000    1     1.5001     0.0000    1
670    762     3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[6,6a])(N[6]N[6])(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6,6a])(N[6]N[6])(NHH){1|O<1>,2|C<3>}   1.3412    0.0000    1     1.3412     0.0000    1
670    762     3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){1|C<3>,2|N<3>}   1.3255    0.0066    8     1.3196     0.0157    94
670    762     3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){1|C<4>,2|N<3>}   1.3147    0.0043    8     1.3196     0.0157    94
670    762     3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){1|N<3>,2|C<3>}   1.3218    0.0000    1     1.3196     0.0157    94
670    762     3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){3|N<3>}   1.3194    0.0171    77     1.3196     0.0157    94
670    762     3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:S[6]-2:N-3:     N    N(C[6]N[6]S[6])(H)2    C[6](N[6]C[6])(S[6]C[6])(NHH)     N(C[6]N[6]S[6])(H)2    C[6](N[6]C[6])(S[6]C[6])(NHH){1|N<3>,1|S<2>,2|H<1>}   1.3078    0.0089    2     1.3078     0.0089    2
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|C<4>,1|H<1>}   1.3560    0.0000    1     1.3499     0.0127    13
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3387    0.0116    3     1.3499     0.0127    13
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<3>,1|S<2>}   1.3547    0.0089    4     1.3499     0.0127    13
