670    730     SP-NON_SP3    N    4:4:2:    3:1:    C-4:C-4:P-2:     N-3:Cl-1:     N(CCCH)2(PCl)    P(NCC)(Cl)     N(CCCH)2(PCl)    P(NCC)(Cl)   1.5908    0.0000    1     1.5908     0.0000    1
670    742     SP2_SP3    N    4:3:1:    3:3:3:3:    B[4]-4:C[6a]-3:H-1:     C[6a]-3:N[4]-3:N[4]-3:N-3:     N(B[4]C[6a]N[4]2)(C[6a]C[6a]2)(H)    B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H)     N(B[4]C[6a]N[4]2)(C[6a]C[6a]2)(H)    B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H){1|C<4>,2|C<3>,2|H<1>}   1.5001    0.0000    1     1.5001     0.0000    1
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[6,6a])(N[6]N[6])(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6,6a])(N[6]N[6])(NHH){1|O<1>,2|C<3>}   1.3412    0.0000    1     1.3412     0.0000    1
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){1|C<3>,2|N<3>}   1.3255    0.0066    8     1.3195     0.0154    98
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){1|C<4>,2|N<3>}   1.3151    0.0042    9     1.3195     0.0154    98
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){1|N<3>,2|C<3>}   1.3218    0.0000    1     1.3195     0.0154    98
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-2:N-3:     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[6])2(NHH){3|N<3>}   1.3193    0.0167    80     1.3195     0.0154    98
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:H-1:H-1:     N[6]-2:S[6]-2:N-3:     N(C[6]N[6]S[6])(H)2    C[6](N[6]C[6])(S[6]C[6])(NHH)     N(C[6]N[6]S[6])(H)2    C[6](N[6]C[6])(S[6]C[6])(NHH){1|N<3>,1|S<2>,2|H<1>}   1.3078    0.0089    2     1.3078     0.0089    2
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:O-1:O-1:     C[6]-2:C[6]-2:N-3:     N(C[6]C[6]2)(O)2    C[6](C[6]C[6])2(NOO)     N(C[6]C[6]2)(O)2    C[6](C[6]C[6])2(NOO){1|C<2>}   1.4162    0.0197    2     1.4469     0.0297    5
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6]-3:O-1:O-1:     C[6]-2:C[6]-2:N-3:     N(C[6]C[6]2)(O)2    C[6](C[6]C[6])2(NOO)     N(C[6]C[6]2)(O)2    C[6](C[6]C[6])2(NOO){1|C<3>}   1.4673    0.0023    3     1.4469     0.0297    5
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|C<4>,1|H<1>}   1.3560    0.0000    1     1.3490     0.0122    15
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3402    0.0090    5     1.3490     0.0122    15
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<3>,1|S<2>}   1.3547    0.0089    4     1.3490     0.0122    15
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<3>,1|S<3>}   1.3375    0.0000    2     1.3490     0.0122    15
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5,6a])(N[6a]C[6a])(NHH){1|C<3>,2|N<3>}   1.3611    0.0110    3     1.3490     0.0122    15
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6,6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6,6a])(NHH){1|C<3>,1|N<3>,1|S<2>}   1.3487    0.0000    1     1.3487     0.0000    1
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3440    0.0066    2     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<3>,1|O<1>}   1.3422    0.0037    2     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<3>,1|O<2>}   1.3529    0.0096    3     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<3>,1|S<2>}   1.3522    0.0104    4     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|C<3>,2|N<3>}   1.3521    0.0089    19     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|Cl<1>,1|C<3>,1|N<3>}   1.3417    0.0047    6     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|N<2>,2|N<3>}   1.3340    0.0014    2     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[5a,6a])(N[6a]C[6a])(NHH){1|O<1>,2|N<3>}   1.3276    0.0026    2     1.3476     0.0103    40
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6,6a])(N[6a]C[6a])(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3328    0.0000    2     1.3384     0.0112    8
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6,6a])(N[6a]C[6a])(NHH){1|C<3>,1|N<2>,1|O<2>}   1.3362    0.0088    5     1.3384     0.0112    8
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6,6a])(N[6a]C[6a])(NHH){3|C<3>}   1.3602    0.0000    1     1.3384     0.0112    8
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a,6a])(N[6a]C[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a,6a])(N[6a]C[6a])(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3247    0.0000    1     1.3247     0.0000    1
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])(N[6a]N[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])(N[6a]N[6a])(NHH){1|C<3>,1|H<1>}   1.3301    0.0001    3     1.3338     0.0092    10
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])(N[6a]N[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])(N[6a]N[6a])(NHH){1|C<3>,1|N<3>}   1.3353    0.0108    7     1.3338     0.0092    10
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<2>,1|C<3>,1|C<4>}   1.3424    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|C<4>,1|N<3>}   1.3504    0.0117    5     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3453    0.0052    5     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|H<1>,1|O<2>}   1.3495    0.0012    2     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<2>,1|N<3>}   1.3337    0.0082    145     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<2>,1|S<2>}   1.3335    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<3>,1|O<2>}   1.3288    0.0086    20     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<3>,1|S<2>}   1.3421    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|C<4>}   1.3340    0.0108    34     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|H<1>}   1.3376    0.0082    35     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|N<3>}   1.3380    0.0104    12     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|O<2>}   1.3308    0.0091    28     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|S<2>}   1.3418    0.0060    3     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<4>,1|N<2>,1|N<3>}   1.3326    0.0063    18     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<4>,2|C<3>}   1.3430    0.0061    12     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|C<3>,1|C<4>}   1.3280    0.0039    9     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|C<3>,1|N<3>}   1.3381    0.0099    26     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|C<3>,1|O<2>}   1.3370    0.0011    2     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|N<2>,1|N<3>}   1.3225    0.0053    7     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|H<1>,1|N<2>,1|N<3>}   1.3266    0.0097    3     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|H<1>,2|C<3>}   1.3425    0.0022    3     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|C<4>}   1.3211    0.0003    2     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|H<1>}   1.2995    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|N<3>}   1.3382    0.0104    44     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|O<2>}   1.3439    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|O<2>,2|C<3>}   1.3546    0.0113    3     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|S<2>,2|C<3>}   1.3378    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){2|Cl<1>,1|C<3>}   1.3323    0.0000    1     1.3351     0.0099    429
670    762     SP2_SP2    N    3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){3|C<3>}   1.3516    0.0077    4     1.3351     0.0099    429
