530    830     SP-NON_SP-NON    N:O    1:1:1:1:1:1:    6:    F-0:F-0:F-0:F-0:F-0:F-0     I-0_0_0_0_0_0     I(F)6    F(IF5)     I(F)6    F(IF5)   1.7744    0.0000    1     1.7744     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    2:2:2:    C[5a]-2_2_2:N[5a]-2_2     N-2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]N)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(NC)     O[5a](C[5a]N[5a]N)(N[5a]C[5a]){1|O<2>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(NC){1|O<2>}   1.3657    0.0000    1     1.3657     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    2:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CCH)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CCH){1|C<3>}   1.3464    0.0000    1     1.3464     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    2:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CCO)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CCO){1|C<3>}   1.3482    0.0045    5     1.3482     0.0045    5
537    727     SP2_SP2    Y:O    3:2:    2:2:3:    C[5a]-2_2_2:N[5a]-2_2     C[6]-3_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C[6])(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(C[6]C[6]2)     O[5a](C[5a]N[5a]C[6])(N[5a]C[5a]){1|C<4>,2|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(C[6]C[6]2){1|H<1>,1|N<3>,1|O<2>,3|C<3>}   1.3493    0.0000    1     1.3493     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    2:2:3:    C[5a]-2_2_2:N[5a]-2_2     N-2_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]N)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(NHH)     O[5a](C[5a]N[5a]N)(N[5a]C[5a]){1|N<2>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(NHH){1|N<2>}   1.3621    0.0011    2     1.3621     0.0011    2
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-2_0_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CClHH)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CClHH){1|C<3>}   1.3321    0.0078    6     1.3321     0.0078    6
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-2_0_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CF3)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CF3){1|C<3>}   1.3226    0.0100    3     1.3226     0.0100    3
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-2_0_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CH3)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CH3){1|C<3>}   1.3371    0.0082    3     1.3371     0.0082    3
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-2_2_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CHHO)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CHHO){1|C<3>}   1.3316    0.0051    12     1.3316     0.0051    12
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-2_2_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CN[5a]HH)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CN[5a]HH){1|C<3>}   1.3373    0.0000    1     1.3373     0.0000    1
