490  826  SP3_SP3  N  4:1:1:1:  4:4:4:4:  As[6]-3_3_3_0:H-3:H-3:H-3  C-3_0_0_0:C-3_0_0_0:C[6]-3_3_0_0:Ga[6]-3_3_0_0  240_81_0  16_3_1  1.9235  0.0052  4  1.9235  0.0052  4  
490  830  SP-NON_SP3  N  1:1:1:1:  4:  Br-3:Br-3:Br-3:F-3  C-0_0_0_0  240_645_0  465_115_0  1.3598  0.0046  3  1.3598  0.0046  3  
490  830  SP-NON_SP3  N  1:1:1:1:  4:  F-3:F-3:F-3:O-3  C-2_0_0_0  240_41903_0  465_244_0  1.3437  0.0385  6  1.3437  0.0385  6  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  C-3_1:F-3:F-3:F-3  C-1_0_0_0  240_1103_0  465_130_0  1.3401  0.0049  3  1.3401  0.0049  3  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  Cl-3:Cl-3:F-3:S-3_1  C-3_0_0_0  240_54194_0  465_237_0  1.3409  0.0000  1  1.3409  0.0000  1  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:I-3_2  C-0_0_0_0  240_42216_0  465_242_0  1.3205  0.0080  18  1.3205  0.0080  18  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:O-3_0  C-3_0_0_0  240_50274_0  465_244_0  1.3644  0.0776  3  1.3644  0.0776  3  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:O-3_2  C-2_0_0_0  240_50646_0  465_244_0  1.3221  0.0128  15  1.3221  0.0128  15  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:O-3_2  C-2_0_0_0  240_50789_0  465_244_0  1.3177  0.0226  221  1.3177  0.0226  221  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:O-3_3  C-3_0_0_0  240_50382_0  465_244_0  1.3268  0.0165  9  1.3268  0.0165  9  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0  240_54197_0  465_246_0  1.3177  0.0210  51  1.3177  0.0210  51  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0  240_54316_0  465_246_0  1.3228  0.0181  30  1.3228  0.0181  30  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0  240_54370_0  465_246_0  1.3192  0.0126  6  1.3192  0.0126  6  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0  240_54432_0  465_246_0  1.3239  0.0105  21  1.3239  0.0105  21  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0  240_54523_0  465_246_0  1.3254  0.0127  87  1.3254  0.0127  87  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_2  C-3_0_0_0  240_55191_0  465_246_0  1.3272  0.0089  9  1.3272  0.0089  9  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_3  C-3_0_0_0  240_54978_0  465_246_0  1.3174  0.0066  6  1.3174  0.0066  6  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:S-3_3  C-3_0_0_0  240_54999_0  465_246_0  1.3220  0.0145  12  1.3220  0.0145  12  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:Se-3_3  C-3_0_0_0  240_55272_0  465_283_0  1.3133  0.0209  6  1.3133  0.0209  6  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:F-3:Se-3_3  C-3_0_0_0  240_55299_0  465_283_0  1.3423  0.0120  3  1.3423  0.0120  3  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:H-3:N-3_1  C-2_0_0_0  240_42450_0  465_247_0  1.3202  0.0241  2  1.3202  0.0241  2  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:H-3:O-3_2  C-2_0_0_0  240_50788_0  465_248_0  1.3376  0.0158  18  1.3376  0.0158  18  
490  830  SP-NON_SP3  N  2:1:1:1:  4:  F-3:F-3:H-3:S-3_2  C-2_0_0_0  240_54196_0  465_250_0  1.3424  0.0004  2  1.3424  0.0004  2  
