490  896  SP3_SPD5  N  5:1:1:1:  8:2:2:4:1:  F-3:F-3:F-3:S[3,3]-8_3_3_3_2  C-5_0_0_0:Nb[3x3,5,6,6]-5_3_3_3_3_2_2_2:O-5:O[3]-8_5:O[3]-8_5  240_55233_0  751_0_1  1.8380  0.0000  1  1.8380  0.0000  1  
490  897  SP3_SP3  N  3:3:1:1:  4:4:4:  C[6a]-3_2_2:H-3:H-3:O[4]-3_0_0  C-3_2_0_0:Ga[4]-3_3_2_2:Ga[4]-3_3_2_2  240_40196_0  681_89_1  1.4515  0.0000  1  1.4515  0.0000  1  
490  897  SP3_SP3  N  3:3:4:1:  4:4:4:  C-3_0_0_0:C[6a]-3_2_2:H-3:O[4]-3_0_0  C-3_3_2_0:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3  240_41675_0  681_93_1  1.4052  0.0000  1  1.4052  0.0000  1  
490  897  SP3_SP3  N  3:4:1:1:  2:2:4:  C-3_0_0_0:H-3:H-3:O[4]-3_0_0  C-3_3_0_0:H[4]-3_3:H[4]-3_3  240_51412_0  681_104_0  1.2995  0.0000  1  1.2995  0.0000  1  
490  897  SP3_SP3  N  3:4:1:1:  4:4:4:  C-3_3_0_0:H-3:H-3:O[4]-3_0_0  C-3_3_0_0:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3  240_51408_0  681_92_1  1.4299  0.0000  1  1.4299  0.0000  1  
490  897  SP3_SP3  N  3:4:1:1:  4:4:4:  C-3_3_0_0:H-3:H-3:O[4]-3_0_0  C-3_3_0_0:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3  240_51410_0  681_92_1  1.4274  0.0000  1  1.4274  0.0000  1  
490  897  SP3_SP3  N  3:4:1:1:  4:4:4:  C-3_3_0_0:H-3:H-3:O[4]-3_0_0  C-3_3_0_0:In[4]-3_3_3_3:In[4]-3_3_3_3  240_51417_0  681_116_1  1.4099  0.0000  1  1.4099  0.0000  1  
490  897  SP3_SP3  N  3:4:1:1:  4:4:4:  H-3:H-3:O[4]-3_0_0:Si-3_3_3_3  C-3_3_0_0:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3  240_51411_0  681_94_1  1.4539  0.0003  2  1.4539  0.0003  2  
490  897  SP3_SP3  N  3:4:1:1:  6:4:4:  C-3_3_0_0:H-3:H-3:O[4]-6_3_0  C-3_3_0_0:Ga[3x4]-3_3_3_3_3_3:Ga[4]-3_3_3_3  240_51407_0  681_87_1  1.4098  0.0092  3  1.4098  0.0092  3  
490  897  SP3_SP3  N  3:4:1:1:  6:6:4:  C-3_3_0_0:H-3:H-3:O[4]-6_6_3  C-3_3_0_0:In[4]-3_3_3_0_0_0:In[4]-3_3_3_0_0_0  240_51414_0  681_118_1  1.4248  0.0000  1  1.4248  0.0000  1  
490  897  SP3_SP3  N  3:4:3:1:  4:4:4:  C-3_0_0_0:C-3_2_2:H-3:O[4]-3_0_0  C-3_3_2_0:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3  240_51409_0  681_91_1  1.4060  0.0053  2  1.4060  0.0053  2  
