490    913     SP-NON_SP3    N    3:4:4:4:    3:3:4:    Ga[4]-3_3_3:Si-3_3_3_3:Si-3_3_3_3:Si-3_3_3_3     C-3_3_3_0:P[4]-3_3_0:P[4]-3_3_0     C(Ga[4]P[4]2)(SiC3)3    Ga[4](P[4]P[4]C)2(CSi3)     C(Ga[4]P[4]2)(SiC3)3    Ga[4](P[4]P[4]C)2(CSi3){1|C<4>}   2.0019    0.0036    2     2.0019     0.0036    2
490    916     SP3_SP3    N    3:1:1:1:    4:4:4:    H-3:H-3:H-3:O[5]-3_3_3     B[5]-3_2_2_2:B[5]-3_2_2_2:C-3_0_0_0     C(O[5]B[5]2)(H)3    O[5](B[5]C[5,6a]C[6a]2)2(CH3)     C(O[5]B[5]2)(H)3    O[5](B[5]C[5,6a]C[6a]2)2(CH3){10|C<3>}   1.4400    0.0000    1     1.4400     0.0000    1
490    916     SP3_SP3    N    3:1:1:1:    6:4:4:    H-3:H-3:H-3:O[5]-6_3_3     C-3_0_0_0:C[5]-3_2_0_0:Nb[5]-3_3_2_0_0_0     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Br3O)(C[5]C[5]HH)(CH3)     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Br3O)(C[5]C[5]HH)(CH3){1|O<2>}   1.4374    0.0000    1     1.4374     0.0000    1
490    916     SP3_SP3    N    3:1:1:1:    6:4:4:    H-3:H-3:H-3:O[5]-6_3_3     C-3_0_0_0:C[5]-3_2_0_0:Nb[5]-3_3_2_0_0_0     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl3O)(C[5]C[5]HH)(CH3)     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl3O)(C[5]C[5]HH)(CH3){1|O<2>}   1.4638    0.0000    1     1.4638     0.0000    1
490    916     SP3_SP3    N    3:1:1:1:    6:4:4:    H-3:H-3:H-3:O[5]-6_3_3     C-3_0_0_0:C[5]-3_3_0_0:Nb[5]-3_3_2_0_0_0     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl3N)(C[5]C[5]HH)(CH3)     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl3N)(C[5]C[5]HH)(CH3){1|C<4>,2|H<1>}   1.4393    0.0151    26     1.4393     0.0151    26
490    916     SP3_SP3    N    3:1:1:1:    6:4:4:    H-3:H-3:H-3:O[5]-6_3_3     C-3_0_0_0:C[5]-3_3_0_0:Nb[5]-3_3_2_2_0_0     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl2NO)(C[5]C[5]HH)(CH3)     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl2NO)(C[5]C[5]HH)(CH3){1|C<4>,2|H<1>}   1.4459    0.0044    4     1.4459     0.0044    4
490    916     SP3_SP3    N    3:1:1:1:    6:4:4:    H-3:H-3:H-3:O[5]-6_3_3     C-3_0_0_0:C[5]-3_3_0_0:Nb[5]-3_3_3_0_0_0     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl3O)(C[5]C[5]HH)(CH3)     C(O[5]Nb[5]C[5])(H)3    O[5](Nb[5]O[5]Cl3O)(C[5]C[5]HH)(CH3){1|C<4>,2|H<1>}   1.4570    0.0071    2     1.4570     0.0071    2
490    916     SP3_SP3    N    3:1:1:1:    8:4:4:    H-3:H-3:H-3:O[5]-8_3_3     C-3_0_0_0:C[5]-3_3_0_0:Nb[5,5]-3_3_3_3_0_0_0_0     C(O[5]Nb[5,5]C[5])(H)3    O[5](Nb[5,5]O[5]3F4)(C[5]C[5]HH)(CH3)     C(O[5]Nb[5,5]C[5])(H)3    O[5](Nb[5,5]O[5]3F4)(C[5]C[5]HH)(CH3){2|H<1>,5|C<4>}   1.4659    0.0153    4     1.4659     0.0153    4
490    916     SP3_SP3    N    3:2:1:1:    4:4:4:    C-3_1:H-3:H-3:O[5]-3_3_3     B[5]-3_2_2_2:C-3_1_0_0:C[5]-3_2_0_0     C(O[5]B[5]C[5])(CC)(H)2    O[5](B[5]C[6a]2C[5])(C[5]C[5]HH)(CCHH)     C(O[5]B[5]C[5])(CC)(H)2    O[5](B[5]C[6a]2C[5])(C[5]C[5]HH)(CCHH){1|H<1>,5|C<3>}   1.4601    0.0000    1     1.4601     0.0000    1
490    916     SP3_SP3    N    3:3:1:1:    4:4:4:    C[6a]-3_2_2:H-3:H-3:O[5]-3_3_3     B[5]-3_3_2_2:B[5]-3_3_2_2:C-3_2_0_0     C(C[6a]C[6a]2)(O[5]B[5]2)(H)2    O[5](B[5]C[5,5]C[6a]2)2(CC[6a]HH)     C(C[6a]C[6a]2)(O[5]B[5]2)(H)2    O[5](B[5]C[5,5]C[6a]2)2(CC[6a]HH){1|C<4>,1|P<4>,2|H<1>,8|C<3>}   1.4759    0.0000    1     1.4759     0.0000    1
490    916     SP3_SP3    N    3:4:1:1:    4:4:4:    C-3_3_0_0:H-3:H-3:O[5]-3_3_3     B[5]-3_2_0_0:B[5]-3_2_0_0:C-3_3_0_0     C(O[5]B[5]2)(CCHH)(H)2    O[5](B[5]C[5,6a]Cl2)2(CCHH)     C(O[5]B[5]2)(CCHH)(H)2    O[5](B[5]C[5,6a]Cl2)2(CCHH){2|C<3>}   1.4571    0.0000    1     1.4571     0.0000    1
