818    965     3:3:1:    3:3:3:    C[5a,5a]-3:P[4a,5a,5a]-3:H-1:     N[4a,5a]-3:N[4a,5a]-3:C[5a,5a]-3:     Y    C[5a,5a](C[5a,5a]P[4a,5a,5a]H)(P[4a,5a,5a]N[4a,5a]2)(H)    P[4a,5a,5a](N[4a,5a]P[4a,5a,5a]C[6a])2(C[5a,5a]C[5a,5a]H)     C[5a,5a](C[5a,5a]P[4a,5a,5a]H)(P[4a,5a,5a]N[4a,5a]2)(H){2|C<3>}    P[4a,5a,5a](N[4a,5a]P[4a,5a,5a]C[6a])2(C[5a,5a]C[5a,5a]H){1|H<1>,4|C<3>}   1.8870    0.0056    2     1.8870     0.0056    2
818    965     3:3:4:    4:3:3:    P[4,5,5,6]-3:C[5,6]-3:C-4:     C[4,4,5,5]-4:P[3,4,5,6]-3:C[5,6]-3:     Y    C[5,6](P[4,5,5,6]C[4,4,5,5]P[3,4,5,6])(C[5,6]P[4,5,5,6]C)(CC3)    P[4,5,5,6](C[4,4,5,5]P[4,5,5,6]P[3,4,4]C)(P[3,4,5,6]C[3,4,5,6]P[3,4,4])(C[5,6]C[5,6]C)     C[5,6](P[4,5,5,6]C[4,4,5,5]P[3,4,5,6])(C[5,6]P[4,5,5,6]C)(CC3){1|H<1>,1|P<3>,2|C<4>}    P[4,5,5,6](C[4,4,5,5]P[4,5,5,6]P[3,4,4]C)(P[3,4,5,6]C[3,4,5,6]P[3,4,4])(C[5,6]C[5,6]C){1|H<1>,2|C<4>}   1.8818    0.0000    1     1.8818     0.0000    1
818    967     3:4:2:    3:3:1:1:    C[5,6]-3:S[6]-4:S[5]-2:     C[5,6]-3:N[5,6]-3:O-1:O-1:     Y    C[5,6](C[5,6]C[5]C[6])(S[6]N[5,6]OO)(S[5]C[5])    S[6](C[5,6]C[5,6]S[5])(N[5,6]C[5,6]C[5])(O)2     C[5,6](C[5,6]C[5]C[6])(S[6]N[5,6]OO)(S[5]C[5]){2|C<4>,4|H<1>}    S[6](C[5,6]C[5,6]S[5])(N[5,6]C[5,6]C[5])(O)2{2|C<3>,3|C<4>,3|H<1>}   1.7443    0.0022    4     1.7443     0.0022    4
818    967     3:4:2:    3:4:1:1:    C[5,6]-3:S[6]-4:S[5]-2:     C[5,6]-3:C[6]-4:O-1:O-1:     Y    C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5])    S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2     C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5]){1|N<3>,1|S<4>,2|C<4>,3|H<1>}    S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2{1|C<4>,2|C<3>,2|H<1>}   1.7526    0.0000    1     1.7482     0.0061    2
818    967     3:4:2:    3:4:1:1:    C[5,6]-3:S[6]-4:S[5]-2:     C[5,6]-3:C[6]-4:O-1:O-1:     Y    C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5])    S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2     C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5]){1|N<4>,1|S<4>,2|C<4>,3|H<1>}    S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2{1|C<4>,2|C<3>,2|H<1>}   1.7439    0.0000    1     1.7482     0.0061    2
818    967     3:4:3:    3:3:1:1:    C[5,6]-3:S[6]-4:C[5]-3:     C[5,6]-3:N[6]-3:O-1:O-1:     Y    C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2     C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<1>}    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}   1.7438    0.0055    8     1.7466     0.0060    14
818    967     3:4:3:    3:3:1:1:    C[5,6]-3:S[6]-4:C[5]-3:     C[5,6]-3:N[6]-3:O-1:O-1:     Y    C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2     C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<2>}    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}   1.7488    0.0000    1     1.7466     0.0060    14
818    967     3:4:3:    3:3:1:1:    C[5,6]-3:S[6]-4:C[5]-3:     C[5,6]-3:N[6]-3:O-1:O-1:     Y    C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2     C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|Cl<1>,1|C<3>,1|C<4>,1|O<1>}    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}   1.7482    0.0042    3     1.7466     0.0060    14
818    967     3:4:3:    3:3:1:1:    C[5,6]-3:S[6]-4:C[5]-3:     C[5,6]-3:N[6]-3:O-1:O-1:     Y    C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2     C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|Cl<1>,1|C<3>,1|C<4>,1|O<2>}    S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}   1.7544    0.0041    2     1.7466     0.0060    14
818    969     2:2:3:    3:1:1:    S[5]-2:S[5]-2:S-3:     C[5]-3:Br-1:Br-1:     N    C[5](S[5]C[5])2(SBr2)    S(C[5]S[5]2)(Br)2     C[5](S[5]C[5])2(SBr2){2|S<2>}    S(C[5]S[5]2)(Br)2   1.7452    0.0000    1     1.7452     0.0000    1
818    969     3:2:3:    3:3:1:    C[5]-3:S[5]-2:S-3:     C[5]-3:C[5]-3:O-1:     N    C[5](C[5]C[6a]C[5])(S[5]C[5])(SC[5]O)    S(C[5]C[5]S[5])2(O)     C[5](C[5]C[6a]C[5])(S[5]C[5])(SC[5]O){2|C<3>,2|H<1>}    S(C[5]C[5]S[5])2(O)   1.7587    0.0013    2     1.7587     0.0013    2
