490    996     SP3_SP3    N    4:1:1:1:    3:3:4:1:    H-3:H-3:H-3:Si[4]-3_3_2_0     C-3_0_0_0:H-3:N[4]-3_3_2:N[4]-3_3_2     C(Si[4]N[4]2H)(H)3    Si[4](N[4]C[4]C)2(CH3)(H)     C(Si[4]N[4]2H)(H)3    Si[4](N[4]C[4]C)2(CH3)(H){1|C<3>}   1.8518    0.0000    1     1.8518     0.0000    1
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:3:    H-3:H-3:H-3:Si[4]-3_2_2_2     C-3_0_0_0:N-3_3_3:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2N)(H)3    Si[4](N[4]Si[4]C)2(CH3)(NCP)     C(Si[4]N[4]2N)(H)3    Si[4](N[4]Si[4]C)2(CH3)(NCP){1|C<4>,1|N<3>}   1.8659    0.0025    2     1.8659     0.0025    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:3:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:N-3_3_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2N)(H)3    Si[4](N[4]Si[4]C)2(CH3)(NCH)     C(Si[4]N[4]2N)(H)3    Si[4](N[4]Si[4]C)2(CH3)(NCH){1|C<4>,1|N<3>}   1.8687    0.0000    2     1.8687     0.0000    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:C[4]-3_2_2:C[4]-3_2_2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[6a]C[4])(C[4]C[4]C)(CH3)2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[6a]C[4])(C[4]C[4]C)(CH3)2{1|H<1>,2|C<3>}   1.8538    0.0086    2     1.8538     0.0086    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:C[4]-3_2_2:C[4]-3_3_2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[4]C)2(CH3)2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[4]C)2(CH3)2{1|Ti<12>}   1.8784    0.0086    2     1.8784     0.0086    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:C[4]-3_2_2:C[4]-3_3_2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[4]Si)(C[4]C[4]C)(CH3)2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[4]Si)(C[4]C[4]C)(CH3)2{1|Ti<11>}   1.8762    0.0015    4     1.8762     0.0015    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_2_2:N[4]-3_2_2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]C[6a]Si[4])2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]C[6a]Si[4])2(CH3)2{5|C<3>}   1.8568    0.0035    4     1.8568     0.0035    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_1:N[4]-3_3_1     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2   1.8537    0.0200    4     1.8537     0.0200    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_2:N[4]-3_3_2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]C[6a]Si[4])2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]C[6a]Si[4])2(CH3)2{2|C<3>,2|C<4>,2|N<2>}   1.8472    0.0006    2     1.8521     0.0058    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_2:N[4]-3_3_2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]C[6a]Si[4])2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]C[6a]Si[4])2(CH3)2{2|C<4>,4|C<3>}   1.8570    0.0016    2     1.8521     0.0058    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2{1|Ge<4>,1|Se<2>}   1.8705    0.0045    8     1.8705     0.0045    8
