643    977     SP-NON_SP2    N    2:2:2:    3:3:    N[6a]-1_1:N[6a]-1_1:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](N[6a]C[6a])2(SeC[6a])    Se(C[6a]N[6a]2)2     C[6a](N[6a]C[6a])2(SeC[6a]){1|Se<2>,1|N<2>,1|N<3>}    Se(C[6a]N[6a]2)2   1.9285    0.0080    6     1.9285     0.0080    6
643    977     SP-NON_SP2    N    3:2:2:    3:2:    C[6a,6a]-1_1_1:N[6a]-1_1:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(N[6a]C[6a])(SeSe)    Se(C[6a]C[6a,6a]N[6a])(SeC[6a])     C[6a](C[6a,6a]C[6a,6a]C[6a])(N[6a]C[6a])(SeSe){1|H<1>,4|C<3>}    Se(C[6a]C[6a,6a]N[6a])(SeC[6a])   1.9267    0.0000    1     1.9267     0.0000    1
643    977     SP-NON_SP2    N    3:2:2:    3:2:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeSe)    Se(C[6a]C[6a]N[6a])(SeC[6a])     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeSe){1|C<3>,1|C<4>,1|H<1>}    Se(C[6a]C[6a]N[6a])(SeC[6a])   1.9339    0.0001    2     1.9335     0.0068    10
643    977     SP-NON_SP2    N    3:2:2:    3:2:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeSe)    Se(C[6a]C[6a]N[6a])(SeC[6a])     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeSe){1|C<3>,1|H<1>,1|N<3>}    Se(C[6a]C[6a]N[6a])(SeC[6a])   1.9386    0.0014    2     1.9335     0.0068    10
643    977     SP-NON_SP2    N    3:2:2:    3:2:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeSe)    Se(C[6a]C[6a]N[6a])(SeC[6a])     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(SeC[6a])   1.9317    0.0083    6     1.9335     0.0068    10
643    977     SP-NON_SP2    N    3:2:2:    3:2:    C[6a]-1_1_1:N[6a]-1_1:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeSe)    Se(C[6a]C[6a]N[6a])(SeC[6a])     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(SeC[6a])   1.9188    0.0005    2     1.9188     0.0005    2
643    977     SP-NON_SP2    N    3:2:2:    3:2:    N[6a]-1_1_1:N[6a]-1_1:Se-1_0     C[6a]-1_0_0:Se-1_0     C[6a](N[6a]C[6a]2)(N[6a]C[6a])(SeSe)    Se(C[6a]N[6a]2)(SeC[6a])     C[6a](N[6a]C[6a]2)(N[6a]C[6a])(SeSe){1|C<3>,1|C<4>,1|N<2>,1|N<3>,1|O<1>}    Se(C[6a]N[6a]2)(SeC[6a])   1.9239    0.0031    2     1.9239     0.0031    2
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-0_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CH3)     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeC){1|Se<2>,1|C<3>,1|C<4>}    Se(C[6a]C[6a]N[6a])(CH3)   1.9248    0.0012    2     1.9248     0.0012    2
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-0_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CCHH)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(CCHH)   1.9157    0.0000    1     1.9157     0.0000    1
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-0_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CH3)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|Se<2>,1|C<3>,1|C<4>}    Se(C[6a]C[6a]N[6a])(CH3)   1.9173    0.0049    4     1.9183     0.0042    8
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-0_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CH3)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|Se<2>,1|C<3>,1|H<1>}    Se(C[6a]C[6a]N[6a])(CH3)   1.9165    0.0038    2     1.9183     0.0042    8
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-0_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CH3)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|Se<2>,1|C<3>,1|N<3>}    Se(C[6a]C[6a]N[6a])(CH3)   1.9220    0.0004    2     1.9183     0.0042    8
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-0_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CSeHH)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|C<3>,1|H<1>,1|N<3>}    Se(C[6a]C[6a]N[6a])(CSeHH)   1.9259    0.0024    2     1.9259     0.0024    2
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-1_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CC[6a]HH)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(CC[6a]HH)   1.9090    0.0010    2     1.9090     0.0010    2
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_1:N[6a]-1_1:Se-1_0     C-1_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CC[6a]HH)     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(CC[6a]HH)   1.9168    0.0000    1     1.9168     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:1:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     Br-0:C[6a]-1_1_0     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeBr)    Se(C[6a]C[6a]2)(Br)     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeBr){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(Br)   1.9340    0.0000    1     1.9340     0.0000    1
