690    846     SP-NON_SP2    N:O    3:    3:3:1:    C[4]-2_2_0     H-2:N[4]-3_3_2:N[4]-3_3_2     H(C[4]N[4]2)    C[4](N[4]B[4]C)2(H)     H(C[4]N[4]2)    C[4](N[4]B[4]C)2(H){2|C<3>}   0.9611    0.0158    2     0.9611     0.0158    2
690    846     SP-NON_SP2    N:O    3:    3:4:1:    C[4]-3_2_0     C[4,6]-3_2_2:C[4]-2_2_0_0:H-2     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6]C[6])(C[4]C[4,6]FF)(H)     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6]C[6])(C[4]C[4,6]FF)(H){1|C<3>,1|N<3>,2|H<1>}   0.9299    0.0000    1     0.9299     0.0000    1
690    846     SP-NON_SP2    N:O    3:    3:4:1:    C[4]-3_2_0     C[4]-3_2_0_0:C[4]-3_2_2:H-2     H(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]HH)(H)     H(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]HH)(H){2|C<3>,2|H<1>}   0.9040    0.0000    1     0.9040     0.0000    1
690    846     SP-NON_SP2    N:O    3:    3:4:1:    C[4]-3_2_0     C[4]-3_2_2:C[4]-3_3_2_0:H-2     H(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]CH)(H)     H(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]CH)(H){2|C<3>,2|H<1>}   0.9298    0.0002    2     0.9298     0.0002    2
690    846     SP-NON_SP2    N:O    3:    3:4:1:    C[4]-3_2_0     C[4]-3_2_2:C[4]-3_3_3_2:H-2     H(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]CC)(H)     H(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]CC)(H){1|C<4>,1|H<1>,2|C<3>}   0.9498    0.0000    1     0.9498     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,4]-3_2_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,4]C[4])    C[4](C[4,4]C[4,4]C[4]H)(C[4]C[4,4]H)(H)     H(C[4]C[4,4]C[4])    C[4](C[4,4]C[4,4]C[4]H)(C[4]C[4,4]H)(H){1|H<1>,1|N<3>,1|O<1>}   0.9367    0.0116    3     0.9367     0.0116    3
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,4]-3_2_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,4]C[4])    C[4](C[4,4]C[4,4]N[4]H)(C[4]C[4,4]H)(H)     H(C[4]C[4,4]C[4])    C[4](C[4,4]C[4,4]N[4]H)(C[4]C[4,4]H)(H){1|H<1>,2|C<3>}   0.9365    0.0114    3     0.9365     0.0114    3
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5,5]-3_3_3_2:C[4]-3_2_0:H-2     H(C[4]C[4,5,5]C[4])    C[4](C[4,5,5]C[4,5]C[5,5]C[5])(C[4]C[4,5]H)(H)     H(C[4]C[4,5,5]C[4])    C[4](C[4,5,5]C[4,5]C[5,5]C[5])(C[4]C[4,5]H)(H){1|C<3>,1|O<2>,1|S<2>,2|C<4>,3|H<1>}   0.9351    0.0000    1     0.9351     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_2_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H){1|C<4>,1|H<1>,1|O<1>,1|O<2>}   0.9304    0.0000    1     0.9303     0.0002    2
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_2_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H){1|O<1>,1|O<2>,2|C<4>}   0.9302    0.0000    1     0.9303     0.0002    2
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_2_2_0:C[4]-3_2_2:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]Cl)(C[4]C[4,5]C[6a])(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]Cl)(C[4]C[4,5]C[6a])(H){1|Cl<1>,1|N<3>,1|O<1>,3|C<3>}   0.9303    0.0000    1     0.9303     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_3_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H){1|C<3>,1|C<4>,1|O<2>,2|H<1>}   0.9302    0.0000    1     0.9304     0.0006    3
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_3_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H){1|C<4>,1|N<3>,1|O<2>,2|H<1>}   0.9299    0.0000    1     0.9304     0.0006    3
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_3_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]H)(C[4]C[4,5]H)(H){1|O<2>,2|C<4>,2|H<1>}   0.9310    0.0000    1     0.9304     0.0006    3
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_3_2_2:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5,5]C[6a]S[5])(C[4]C[4,5,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5,5]C[6a]S[5])(C[4]C[4,5,5]H)(H){2|C<3>,3|C<4>}   0.9771    0.0000    1     0.9771     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,5]-3_3_3_2:C[4]-3_2_0:H-2     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]C)(C[4]C[4,5]H)(H)     H(C[4]C[4,5]C[4])    C[4](C[4,5]C[4,5]C[5]C)(C[4]C[4,5]H)(H){1|C<3>,1|C<4>,1|O<2>,2|H<1>}   0.9302    0.0000    1     0.9302     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,6,6]-3_3_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,6,6]C[4])    C[4](C[4,6,6]C[3,6,6]C[4,6,6]H)(C[4]C[4,6,6]H)(H)     H(C[4]C[4,6,6]C[4])    C[4](C[4,6,6]C[3,6,6]C[4,6,6]H)(C[4]C[4,6,6]H)(H){1|C<3>,1|H<1>,3|C<4>}   0.9505    0.0000    1     0.9505     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,6,6]-3_3_2_0:C[4]-3_2_0:H-2     H(C[4]C[4,6,6]C[4])    C[4](C[4,6,6]C[4,6,6]C[5,6,6]H)(C[4]C[4,6,6]H)(H)     H(C[4]C[4,6,6]C[4])    C[4](C[4,6,6]C[4,6,6]C[5,6,6]H)(C[4]C[4,6,6]H)(H){2|H<1>,3|C<4>}   0.9506    0.0000    1     0.9506     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,6]-3_2_2_0:C[4]-3_2_2:H-2     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6,6]C[6]H)(C[4]C[4,6,6]C[6a])(H)     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6,6]C[6]H)(C[4]C[4,6,6]C[6a])(H){1|H<1>,5|C<3>}   0.9131    0.0435    2     0.9131     0.0435    2
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,6]-3_2_2_0:C[4]-3_2_2:H-2     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6]C[6]Cl)(C[4]C[4,6]C[6a])(H)     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6]C[6]Cl)(C[4]C[4,6]C[6a])(H){1|Cl<1>,1|O<1>,4|C<3>}   0.9581    0.0463    3     0.9581     0.0463    3
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,6]-3_3_2_0:C[4]-3_2_2:H-2     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6,6]C[3,6]H)(C[4]C[4,6,6]C[6a])(H)     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6,6]C[3,6]H)(C[4]C[4,6,6]C[6a])(H){1|C<4>,1|H<1>,1|O<2>,4|C<3>}   0.9302    0.0000    1     0.9302     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4,6]-3_3_2_0:C[4]-3_2_2:H-2     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6]C[6]H)(C[4]C[4,6]C[6a])(H)     H(C[4]C[4,6]C[4])    C[4](C[4,6]C[4,6]C[6]H)(C[4]C[4,6]C[6a])(H){1|C<4>,3|C<3>,3|H<1>}   0.9971    0.0000    1     0.9971     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4]-3_2_2:H-2:P[4]-3_2_2_2     H(C[4]C[4]P[4])    C[4](P[4]C[6a]2B[4])(C[4]C[6a]B[4])(H)     H(C[4]C[4]P[4])    C[4](P[4]C[6a]2B[4])(C[4]C[6a]B[4])(H){8|C<3>}   0.9402    0.0000    1     0.9402     0.0000    1
690    846     SP-NON_SP2    N:O    3:    4:3:1:    C[4]-3_2_0     C[4]-3_3_2:C[4]-3_3_3_2:H-2     H(C[4]C[4]2)    C[4](C[4]C[4]OO)(C[4]C[4]C)(H)     H(C[4]C[4]2)    C[4](C[4]C[4]OO)(C[4]C[4]C)(H){2|O<2>}   0.9504    0.0000    1     0.9504     0.0000    1
690    853     SP-NON_SP2    N:O    3:    3:3:1:    C[3a]-2_2_0     C[3a]-2_2_2:C[3a]-3_2_2:H-2     H(C[3a]C[3a]2)    C[3a](C[3a]C[3a]C[6])(C[3a]C[3a]O)(H)     H(C[3a]C[3a]2)    C[3a](C[3a]C[3a]C[6])(C[3a]C[3a]O)(H){1|H<1>,2|C<4>}   0.9302    0.0000    1     0.9302     0.0000    1
690    854     SP-NON_SP3    N:O    4:    3:4:1:1:    N[6]-3_2_0_0     B[6]-3_2_2_2:C[6,6a]-3_2_2:H-3:H-3     H(N[6]C[6,6a]B[6]H)    N[6](C[6,6a]C[6,6a]C[6a])(B[6]C[6,6a]C[6a]2)(H)2     H(N[6]C[6,6a]B[6]H)    N[6](C[6,6a]C[6,6a]C[6a])(B[6]C[6,6a]C[6a]2)(H)2{1|F<1>,8|C<3>}   0.9197    0.0004    4     0.9197     0.0004    4
690    854     SP-NON_SP3    N:O    4:    3:4:1:1:    N[6]-3_2_0_0     C[5,6]-3_3_3_0:C[6,6a]-3_2_2:H-3:H-3     H(N[6]C[6,6a]C[5,6]H)    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(H)2     H(N[6]C[6,6a]C[5,6]H)    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(H)2{2|C<3>,2|H<1>,5|C<4>}   0.9162    0.0558    2     0.9162     0.0558    2
690    854     SP-NON_SP3    N:O    4:    3:4:1:1:    N[6]-3_2_0_0     C[6,6a]-3_2_2:C[6]-3_3_0_0:H-3:H-3     H(N[6]C[6,6a]C[6]H)    N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(H)2     H(N[6]C[6,6a]C[6]H)    N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(H)2{1|C<4>,2|C<3>,3|H<1>}   0.8892    0.0098    2     0.8892     0.0098    2
690    854     SP-NON_SP3    N:O    4:    3:4:4:1:    N[6,6]-3_3_2_0     C[6,6a]-3_2_2:C[6,6]-3_3_0_0:C[6]-3_2_0_0:H-3     H(N[6,6]C[6,6a]C[6,6]C[6])    N[6,6](C[6,6a]C[6,6a]C[6a])(C[6,6]N[6,6]HH)(C[6]C[6,6a]HH)(H)     H(N[6,6]C[6,6a]C[6,6]C[6])    N[6,6](C[6,6a]C[6,6a]C[6a])(C[6,6]N[6,6]HH)(C[6]C[6,6a]HH)(H){1|C<4>,1|H<1>,4|C<3>}   0.9613    0.0867    3     0.9613     0.0867    3
690    854     SP-NON_SP3    N:O    4:    3:4:4:1:    N[6]-3_3_2_0     C-3_3_0_0:C[6]-3_3_0_0:C[6]-3_3_2:H-3     H(N[6]C[6]2C)    N[6](C[6]C[6,6]O)(C[6]C[6]HH)(CCHH)(H)     H(N[6]C[6]2C)    N[6](C[6]C[6,6]O)(C[6]C[6]HH)(CCHH)(H){2|C<4>,3|H<1>}   0.8775    0.0205    2     0.8775     0.0205    2
690    854     SP-NON_SP3    N:O    4:    3:4:4:1:    N[6]-3_3_2_0     C[6a]-3_2_2:C[6]-3_3_0_0:C[6]-3_3_0_0:H-3     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]2)(C[6]C[6]HH)2(H)     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]2)(C[6]C[6]HH)2(H){1|C<4>,1|N<4>,2|C<3>,5|H<1>}   0.9054    0.0081    3     0.8950     0.0184    7
690    854     SP-NON_SP3    N:O    4:    3:4:4:1:    N[6]-3_3_2_0     C[6a]-3_2_2:C[6]-3_3_0_0:C[6]-3_3_0_0:H-3     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]2)(C[6]C[6]HH)2(H)     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]2)(C[6]C[6]HH)2(H){1|F<1>,1|N<4>,2|C<3>,5|H<1>}   0.8593    0.0000    1     0.8950     0.0184    7
690    854     SP-NON_SP3    N:O    4:    3:4:4:1:    N[6]-3_3_2_0     C[6a]-3_2_2:C[6]-3_3_0_0:C[6]-3_3_0_0:H-3     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]2)(C[6]C[6]HH)2(H)     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]2)(C[6]C[6]HH)2(H){1|N<4>,2|C<3>,6|H<1>}   0.8965    0.0122    3     0.8950     0.0184    7
690    854     SP-NON_SP3    N:O    4:    3:4:4:1:    N[6]-3_3_2_0     C[6a]-3_2_2:C[6]-3_3_0_0:C[6]-3_3_0_0:H-3     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]N[6a])(C[6]C[6]HH)2(H)     H(N[6]C[6a]C[6]2)    N[6](C[6a]C[6a]N[6a])(C[6]C[6]HH)2(H){1|C<4>,3|C<3>,4|H<1>}   1.0052    0.0000    1     1.0052     0.0000    1
690    854     SP-NON_SP3    N:O    4:    4:2:4:1:    N[6]-3_3_3_0     B[6]-3_3_2_2:C-3_0_0_0:H-3:O[6]-3_3     H(N[6]B[6]O[6]C)    N[6](B[6]C[6a]2O[6])(O[6]B[6])(CH3)(H)     H(N[6]B[6]O[6]C)    N[6](B[6]C[6a]2O[6])(O[6]B[6])(CH3)(H){1|N<4>,6|C<3>}   0.9250    0.0000    1     0.9250     0.0000    1
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6,6]-3_3_0_0     C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:H-3:H-3     H(N[6,6]C[6,6]2H)    N[6,6](C[6,6]C[4,6,6]HH)2(H)2     H(N[6,6]C[6,6]2H)    N[6,6](C[6,6]C[4,6,6]HH)2(H)2{1|C<4>,1|N<3>,2|H<1>}   0.9011    0.0106    2     0.9011     0.0106    2
